date,branch_id,branch_name,city,category,covers,orders,revenue,food_cost,is_weekend,month,year,quarter,is_outlier,gross_profit,gross_margin
2022-01-01,BR001,Downtown,Mexico City,Starters,73,47,4143.29,1171.57,True,1,2022,1,False,2971.7200000000003,0.7172367852600229
2022-01-01,BR001,Downtown,Mexico City,Main Course,73,64,10885.93,3329.56,True,1,2022,1,False,7556.370000000001,0.694140969122528
2022-01-01,BR001,Downtown,Mexico City,Desserts,73,31,2362.61,602.94,True,1,2022,1,False,1759.67,0.7447991839533398
2022-01-01,BR001,Downtown,Mexico City,Beverages,73,56,3612.62,671.89,True,1,2022,1,False,2940.73,0.814015866600971
2022-01-01,BR001,Downtown,Mexico City,Alcohol,73,30,3416.73,727.88,True,1,2022,1,False,2688.85,0.78696590014429
2022-01-01,BR002,Polanco,Mexico City,Starters,72,43,3615.2,991.12,True,1,2022,1,False,2624.08,0.7258464262004869
2022-01-01,BR002,Polanco,Mexico City,Main Course,72,69,11703.6,3667.31,True,1,2022,1,False,8036.290000000001,0.6866511158959637
2022-01-01,BR002,Polanco,Mexico City,Desserts,72,28,2085.24,536.18,True,1,2022,1,False,1549.06,0.7428689263585967
2022-01-01,BR002,Polanco,Mexico City,Beverages,72,57,3427.79,622.7,True,1,2022,1,False,2805.09,0.8183377628151083
2022-01-01,BR002,Polanco,Mexico City,Alcohol,72,29,3539.88,753.12,True,1,2022,1,False,2786.76,0.7872470253228924
2022-01-01,BR003,Guadalajara,Guadalajara,Starters,44,28,2557.31,738.13,True,1,2022,1,False,1819.1799999999998,0.711364676163625
2022-01-01,BR003,Guadalajara,Guadalajara,Main Course,44,40,6736.52,2195.4,True,1,2022,1,False,4541.120000000001,0.6741047306324335
2022-01-01,BR003,Guadalajara,Guadalajara,Desserts,44,17,1197.9,299.33,True,1,2022,1,False,898.5700000000002,0.7501210451623676
2022-01-01,BR003,Guadalajara,Guadalajara,Beverages,44,33,2109.67,370.58,True,1,2022,1,False,1739.0900000000001,0.8243421956988534
